ITEM OBSOLETO;DESCRIÇÃO
CCSMIND002696;PAPEL SULFITE A4 BLOQUEADO
CCSMIND000328;PAPEL SULFITE A4 BLOQUEADO
CCSMIND001898;PARAF. LENTILHA 5.16 X 3.4 ELETROCALHA ZINC.BLOQUEADO
CCSMIND001675;PARAF.PERFIL DE DRYWALL FLA-AGULHA 4.2X1 BLOQUEADO
CCSMIND000271;PARAFUSO ALLEN M12X30 CARBONIZADO BLOQUEADO
CCSMIND003887;PARAFUSO CAB PANELA FENDA CRUZ M6X10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003818
CCSMIND003858;PARAFUSO CAB PANELA FENDA CRUZ M8X30 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003848
CCSMIND003970;PARAFUSO CAB. PANELA PHILIPS M4X10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003789
CCSMIND003971;PARAFUSO CAB. PANELA PHILIPS M5X20 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003824
CMPRELE002561;PARAFUSO CABECA LENTILHA COM FENDA 3.8 X 3.4 BLOQUEADO OPCAO CMPRELE004490
CCSMIND003285;PARAFUSO CABECA SEXTAVADA ROSCA TOTAL M12X40 CL8.8 ZINCADO BLOQUEADO
CCSMIND003917;PARAFUSO FRANCES M6X16 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003856
CCSMIND001827;PARAFUSO LENTILHA M8X25 ZINCADO BLOQUEADO
CCSMIND001795;PARAFUSO SEXTAVADO M12X50MM BICROMATIZADO BLOQUEADO
CCSMIND003884;PARAFUSO SEXTAVADO M6X30 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003864
CCSMIND003945;PARAFUSO SEXTAVADO M6X40 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003839
CCSMIND003890;PARAFUSO SEXTAVADO M8X20 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003867
CCSMIND003894;PARAFUSO SEXTAVADO M8X40 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND003855
CCSMIND000316;PARAFUSO SEXTAVADO M8X43 BLOQUEADO
CMPRHVC000311;PASSA CABOS VEDANTE BLOQUEADO OPCAO CCSMIND000056
CMPREST000526;PERFIL DRYWALL-CANALETA F530 3000MM BLOQUEADO
CMPREST000812;PERFIL W 200 X 22,5 - ACO A572 G50 - 10225MM BLOQUEADO OPCAO CMPREST000049
CMPREST000814;PERFIL W 200 X 22,5 - ACO A572 G50 - 1700MM BLOQUEADO OPCAO CMPREST000049
CMPREST000813;PERFIL W 200 X 22,5 - ACO A572 G50 - 3210MM BLOQUEADO OPCAO CMPREST000049
CMPRELE004563;PERFILADO 38X38 GE CH-18 ELETROLITICO BLOQUEADO OPCAO CMPRELE003850
CMPRHVC001146;PEX4 - AR COND - EVAP - P2120UA - 380V-120 P2120U70-DPDCRUE 3 BLOQUEADO OPCAO CMPRHVC001065
REVRHVC001165;PEX4 - AR COND - EVAP - P2120UA - DPDCRUE 3 BLOQUEADO OPCAO REVRHVC001065
CMPRHVC001147;PEX4 - AR COND - LVC170-COND - 380V BLOQUEADO OPCAO CMPRHVC001036
CMPREST000662;PISO TECNICO ALT 20MM - 1205 X 1733 BLOQUEADO ESP 6MM - MALHA 25X100 - CHAPERFUR GCHP-B4-20.6
CMPREST000660;PISO TECNICO ALT 20MM - 960 X 1326 BLOQUEADO ESP 6MM - MALHA 25X100 - CHAPERFUR GCHP-B4-20.6
CMPREST000661;PISO TECNICO ALT 20MM - 960 X 1496 BLOQUEADO ESP 6MM - MALHA 25X100 - CHAPERFUR GCHP-B4-20.6
CMPRELE000345;PLACA DE ELEM. MAIS FIXACAO CEGO 500 BLOQUEADO
CMPRELE000009;PLACA FRONTAL MASTERPACT BLOQUEADO
CMPRELE000010;PLACA FRONTAL MUL9 4 MODULOS-BLOQUEADO OPCAO CMPRELE000437
CMPRELE000254;PLACA SOBREPOR PNSX-CZS630 HORIZONTAL BLOQUEADO
CMPRELE003111;PLUG ACOPLAMENTO STECK - 3P+N+T 32A 380.440V BLOQUEADO OPCAO CMPRELE004048
CMPRELE000111;PLUG IN BASE DISJUNTOR BLOQUEADO
CMPRELE004964;PONTE CONECTORA PC-BTWA 6.2 PLASTICO 630V.600V BLOQUEADO OPCAO CMPRELE004691
CMPREST000025;PONTO DE AMOSTRAGEM PARA FERRO PMB BLOQUEADO
CMPREST000457;PORCA 3.4 3 (ASTM A325) - ZINCADO BLOQUEADO OPCAO CMPREST000285
CMPREST000278;PORCA FORJADA EM LATAO- ROSCA (1.4.) BLOQUEADO OPCAO CCSMIND000129
CMPREST000433;PORCA SEXT - 1.2 X 1.1.2 (ASTM A325) BLOQUEADO OPCAO CMPREST000294
CMPREST000437;PORCA SEXT 5.8X1.3.4 (ASTM A325) BLOQUEADO OPCAO CMPREST000291
CMPREST000123;PORCA SEXT. A194 2H UNC 1.2-13 ZB BLOQUEADO OPCAO CMPREST000294
CCSMIND001637;PORCA SEXT. A194 2H UNC 3.4 - 10 EN BLOQUEADO OPCAO CMPREST000285
CMPREST000124;PORCA SEXT. A194 2H UNC 5.8-11 ZB BLOQUEADO OPCAO CMPREST000291
CCSMIND004197;PORCA SEXTAVADA 1.4. TRIVALENTE AMARELO BLOQUEADO CCSMIND004134
CCSMIND004196;PORCA SEXTAVADA 1.4. TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004134
CCSMIND004192;PORCA SEXTAVADA 3.8. TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004159
CCSMIND002922;PORCA SEXTAVADA A194 2H UNC 7.8 GF BLOQUEADO OPCAO CMPREST000430
CCSMIND004168;PORCA SEXTAVADA M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004157
CCSMIND004188;PORCA SEXTAVADA M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004157
CCSMIND004170;PORCA SEXTAVADA M4 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004164
CCSMIND001535;PORCA SEXTAVADA M4 ZINCADA BLOQUEADO OPCAO CCSMIND000196
CCSMIND004165;PORCA SEXTAVADA M5 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004129
CCSMIND004154;PORCA SEXTAVADA M5 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004129
CCSMIND004142;PORCA SEXTAVADA M5 TRIVALENTE AMARELO TRIVALENTE AMARELADO  BLOQUEADO OPCAO CCSMIND004129
CCSMIND004199;PORCA SEXTAVADA M6 X 1,0 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004175
CCSMIND004181;PORCA SEXTAVADA M8 TRIVALENTE AMARELO BLOQUEADO OPCAO
CCSMIND001244;PORCA SEXTAVADA1.4 BLOQUEADO OPCAO CCSMIND001175
CCSMIND000477;PRESILHA PARA LEITO GRAPA FIXA BLOQUEADO OPCAO CMPRELE003650
CMPRELE004534;PRESILHA TIPO UNHA EM LATAO COM FURO M5 BLOQUEADO OPCAO CMPRELE004521
CMPRELE000006;PROTECAO BARRAS CABOS FRONTAL 06-16 FIXO BLOQUEADO
CMPRHVC000006;REGUA VERTIV BLOQUEADO
CMPRELE000362;RELE INTELIGENTE SRW01-UMCT4 IC 12.5 BLOQUEADO OPCAO CMPRELE001656
CMPRELE002478;RELES DE PROTECAO DE ARCO - VAMP 321 BLOQUEADO
CMPRELE004924;RETIFICADOR TRIF. RTDW - 380VCA.125VCC-50HZ-100A-IP42. BAT.GAB.10 UNI. VRLA-80AH.12V-AUT.10 MIN BLOQUEADO OPCAO CMPRELE004945
CCSMADM001149;RIBBON CERA 110X74 MTS - BLOQUEADO
REVRELE004801;"RMU (23KV;I=630A;ICC=20KA;IP3X;RAL9003) BLOQUEADO"
CCSMIND000057;ROSCAS BLOQUEADO
CMPRELE003892;SAIDA HORIZONTAL P. PERFILADO ELETRODUTO 3.4 GE BLOQUEADO OPCAO CMPRELE004342
CMPRELE004338;SAIDA HORIZONTAL PARA ELETRODUTO 2 GE BLOQUEADO OPCAO CMPRELE004356
CMPRELE004348;SAIDA LATERAL DE PERFILADO P. ELETRODUTO 1 1.2 GE ELETROLITICO BLOQUEADO OPCAO CMPRELE004347
CMPRELE001695;SAIDA LATERAL HORIZONTAL P. ELETRODUTO 2 BLOQUEADO OPCAO CMPRELE004356
CMPRELE002763;SDACI - DIFUSOR ALUMINIO 1.2 180Co KLENTS BLOQUEADO OPCAO CMPRSTM000096
CMPRELE002853;SDACI - SIRENE AUDIOVISUAL CONVENCIONAL BLOQUEADO OPCAO CMPRELE002768
CMPRHVC001018;SDACI- ADESIVO TUBO SISTEMA DE DETECCAO (VALIDANDO MODELO) MOD. AD SD1 BLOQUEADO OPCAO CMPRHVC000613
CMPRSTM000109;SDACI-PAINEL DETECCAO PRECOCE VLF-250 VLF-250 BLOQUEADO OPCAO CMPRELE002858
CMPRSTM000108;SDACI-PAINEL DETECCAO PRECOCE VLF-500 VLF-500 BLOQUEADO OPCAO SDACI-PAINEL DETECCAO PRECOCE VLF-500 VLF-500 BLOQUEADO OPCAO CMPRELE000250
CMPRELE001459;SEAL TUBO 1 - ELETRODUTO FLEXIVEL PRETO BLOQUEADO OPCAO CMPRELE000336
CMPRELE006674;SEGREGAÇAO FRONTAL VERTICAL H=2000 W=200MM REF PFBS1021 BLOQUEADO OPCAO CMPRELE006657
CMPRELE006677;SEGREGAÇAO LATERAL VERTICAL H=1000 D=500MM REF PTVS1052 BLOQUEADO OPCAO CMPRELE006660
CMPRSTM000075;SENSOR DE TEMPERATURA E UMIDADE DE PAREDE. DPWC111000. TEMP -10CA60C( OUT RES NTC) BLOQUEADO OPCAO CMPRHVC000886
CCSMIND001458;SERRA COPO-102 MM BLOQUEADO OPCAO CCSMIND000017
CFERIND000009;SONDA DE PAREDE COM SAIDA DPWC111000 BLOQUEADO OPCAO CMPRHVC000886
CMPRELE001546;SPACELOGIC SLP SERIES AIR QUALITY BLOQUEADO OPCAO CMPRSTM000014
CMPRELE001077;SPIRADUTO 1.4 BLOQUEADO OPCAO CCSMIND000151
CMPREST000009;SUPORTE BALANCO HORIZONTAL BLOQUEADO
CMPREST000010;SUPORTE DE CLT BLOQUEADO
CCSMIND002224;SUPORTE PARA ARAME DE SOLDA BLOQUEADO OPCAO CCSMIND001901
CCSMIND000661;TAMPA 1 P VERTICAL TOMADA 1.2 E 3.4 BLOQUEADO
CMPRELE004425;TAMPA DE ENCAIXE CH..18 GE P. CURVA HZ.90C°100X50MM BLOQUEADO OPCAO CMPRELE004423
CMPRELE004427;TAMPA DE ENCAIXE CH..18 GE P. CURVA HZ.90C°100X50MM BLOQUEADO OPCAO CMPRELE004423
CMPRELE004469;TAMPA DE ENCAIXE CH.18 GE P. CURVA HZ.90C°100X100MM BLOQUEADO OPCAO CMPRELE004467
CMPRELE004471;TAMPA DE ENCAIXE CH.18 GE P. CURVA HZ.90C°100X100MM BLOQUEADO OPCAO CMPRELE004467
CCSMIND000105;TAMPA DE FECHAMENTO P. BORNES 2.5-10MM. BLOQUEADO OPCAO CMPRELE002590
CMPRELE003915;TAMPA ENCAIXE 100MMX3000MM 18 GE BLOQUEADO OPCAO CMPRELE003914
CMPRELE002583;TAMPA ENCAIXE 100MMX3000MM18 BLOQUEADO OPCAO CMPRELE002585
CMPRELE004245;TAMPA ENCAIXE 50MMX3000MM 18 GE BLOQUEADO OPCAO CMPRELE003855
CMPRELE003853;TAMPA ENCAIXE P. ELETROCALHA 100X3000MM GE ELETROLITICO BLOQUEADO OPCAO CMPRELE004313
CMPRELE002607;TAMPA ENCAIXE P.CURVA VERT.L EXTERNA 90C° BLOQUEADO
CMPRELE001407;TAMPA P.CURVA VERT.EXT. 90C°100X50MM GF BLOQUEADO
CMPRELE001234;TAMPA RED CONC 300X100MM PRES BLOQUEADO
CMPRELE003174;TAMPA TRASEIRA L=800 IP55 BLOQUEADO OPCAO CMPRELE003289
CMPRELE001420;TE HORIZ.90C° LISO 300X50.100X50MM GF BLOQUEADO
CMPRELE004464;TE HORIZONTAL 90C° LISA 100X100MM R150MM CH 16GE BLOQUEADO OPCAO CMPRELE003900
CMPRELE004298;TE HORIZONTAL LISO 90C° 50X50MM GE BLOQUEADO OPCAO CMPRELE004273
CCSMIND001158;TELA TOUCH SCREEN BLOQUEADO
CMPRELE001883;TERM ILHOS PRE ISOL 1MM M8 VM BLOQUEADO OPCAO CMPRELE000819
CMPRELE001901;TERM OLHAL PRE ISOL 0.5-1.5MM M4 VM BLOQUEADO OPCAO CMPRELE001884
CMPRELE001090;TERMINAL 100X50MM PZ BLOQUEADO
CMPRELE00133;TERMINAL COMPRESSAO 120MM 1F-1C M12 BLOQUEADO OPCAO CMPRELE000182
CMPRELE003557;TERMINAL COMPRESSAO 185MM 1F-1C M12 BLOQUEADO OPCAO CMPRELE003204
CMPRELE001174;TERMINAL COMPRESSAO 185MM 1F-1C M16 BLOQUEADO OPCAO CMPRELE001494
CMPRELE002002;TERMINAL COMPRESSAO 1F.1C185MM TM-185-10 BLOQUEADO OPCAO CMPRELE003200
CMPRELE001036;TERMINAL COMPRESSAO 2.50.4.0MM 1F-1C M5 BLOQUEADO
CMPRELE001158;TERMINAL COMPRESSAO 2.50.4.0MM 1F-1C M5 BLOQUEADO
CMPRELE001175;TERMINAL COMPRESSAO 240MM 1F-1C M16 CB BLOQUEADO OPCAO CMPRELE000172
CMPRELE001166;TERMINAL COMPRESSAO 35MM 1F-1C M10 BLOQUEADO OPCAO CMPRELE001499
CMPRELE001167;TERMINAL COMPRESSAO 50MM 1F-1C M08 CB BLOQUEADO OPCAO CMPRELE000186
CMPRELE00128;TERMINAL COMPRESSAO 50MM 1F-1C M08 CB FLEX BLOQUEADO OPCAO CMPRELE00167
CMPRELE001170;TERMINAL COMPRESSAO 95MM 1F-1C M12 CB BLOQUEADO OPCAO CMPRELE000171
CMPRELE001187;TERMINAL COMPRESSAO 95MM 1F-1C M16 BLOQUEADO
CMPRELE001152;TERMINAL DE COMPRESSAO 120MM BLOQUEADO
CMPRELE001135;TERMINAL DE COMPRESSAO 150MM BLOQUEADO
CMPRELE000175;TERMINAL DE COMPRESSAO DE 95MM FURO BLOQUEADO
CMPRELE003203;TERMINAL DE COMPRESSAO OLHAL-16 MM- M10 BLOQUEADO OPCAO CMPRELE002529
CMPRELE000190;TERMINAL DE COMPRESSAO OLHAL10MM FURO5MM BLOQUEADO
CMPRELE000061;TERMINAL ILHOS 1.5MM PRETO 08MM BLOQUEADO OPCAO CMPRELE001550
CMPRELE000808;TERMINAL ILHOS ISOLADO 1MM VM BLOQUEADO OPCAO CMPRELE000819
CMPRELE000799;TERMINAL ILHOS PRE ISOLADO DUPLO 1MM VM BLOQUEADO OPCAO CMPRELE001882
CMPRELE000380;TERMINAL ILHOS SIMPLES 10MM  VERMELHO BLOQUEADO OPCAO CMPRELE000807
CMPRELE002127;TERMINAL ILHOS SIMPLES 2.5MM BLOQUEADO OPCAO CMPRELE001551
CMPRELE000842;TERMINAL OLHAL COMPRESSAO 16MM BLOQUEADO
CMPRELE000841;TERMINAL OLHAL COMPRESSAO 16MM M8 BLOQUEADO OPCAO CMPRELE000189
CMPRELE000846;TERMINAL OLHAL COMPRESSAO 185MM BLOQUEADO
CMPRELE000848;TERMINAL OLHAL DE COMPRESSAO 95MM FURO M10 BLOQUEADO OPCAO CMPRELE000169
CMPRELE000167;TERMINAL OLHAL PRE IS.1.5-2.5 MM 4MM AZ BLOQUEADO
CMPRELE001549;TERMINAL TUBULAR SIMPLES ILHOS 0.75MM. BLOQUEADO OPCAO CMPRELE000837
CCSMIND000405;TINTA PPG CINZA RAL BLOQUEADO
CMPREST000336;TINTA PU. BRANCO RAL 9003. BRILHANTE. BLOQUEADO OPCAO CMPREST000148
REVRELE000874;TOMADA HASTE LONGA BRANCA 20A 250V BLOQUEADO
CMPRELE001331;TRAFO DE CORRENTE 800.5A JANELA BLOQUEADO CLASSE DE EXATIDAO 0.3C MODELO: KR238
CCSMIND001463;TRANCA ESTRANHADA 3.8 BLOQUEADO
CMPRELE006557;TRANSFORMADOR DE COMANDO GALV. 2000VA ENT. 220VCA SAIDA 115VCA. REF 36164 BLOQUEADO OPCAO CMPRELE006552
CMPRELE006309;TRANSFORMADOR DE CORRENTE TOROIDAL(FUGA A TERRA) 700/5A, CLASSE 1,2KV BLOQUEADO OPCAO CMPRELE006308
FDE-01104-401;TRAVAMENTO STEEL FRAME C=266MM (BLOQUEADO)
CMPRELE001251;TRILHO DIN P. BORNES BLOQUEADO OPCAO CMPRELE001530
CCSMIND000333;TROCADO DE CALOR BLOQUEADO
CMPRELE001291;TUBO AZUL ESCURO ESCURO 25.4MM BLOQUEADO
CMPRELE001292;TUBO BRANCO 25.4MM BLOQUEADO
CMPRELE002464;TUBO DE ASPIRACAO DE FUMACA BLOQUEADO
CMPRHVC000271;TUBO DE COBRE 019.05 (3.4) ESP. 0.79 (1.32) BLOQUEADO OPCAO CMPRHVC000105
CMPRHVC000013;TUBO DE COBRE 06.35 (1.4) ESP. 0.79 (1.32) BLOQUEADO OPCAO CMPRHVC000989
CMPRHVC000049;TUBO DE COBRE 5.8 ESP 1.16 - 0.64 KG.M BLOQUEADO OPCAO CMPRHVC000283
CMPREST000279;TUBO DE COBRE DIA 6,35 (1.4) ESP. 0,79 (1.32) BLOQUEADO OPCAO CMPRHVC000989
CMPRHVC000369;TUBO DE COBRE PARA REFRIGERACAO 05.8 ESPESSURA 1.16 BLOQUEADO OPCAO CMPRHVC000283
CMPRHVC000107;TUBO DE COBRE PARA REFRIGERACAO 7.8 BLOQUEADO OPCAO CMPRHVC000363
CCSMIND001498;TUBO ISOLANTE ELASTOMERICO 1.1.8 H18 BLOQUEADO OPCAO CMPRHVC000262
CMPRHVC000290;TUBO ISOLANTE ELASTOMERICO 5.8 H15 BLOQUEADO OPCAO CMPRHVC000261
CMPRHVC000289;TUBO ISOLANTE ELASTOMERICO 7.8 22M BLOQUEADO OPCAO CMPRHVC000368
CCSMIND001555;TUBO TERMORETRATIL PRETO 25.4 MM BLOQUEADO
CMPRELE001293;TUBO VIOLETA 25.4MM BLOQUEADO
CMPRSTM000092;UMIDIFICADOR ULTRASSONICO CAREL BLOQUEADO OPCAO CMPRHVC000748
CMPRELE001065;UNIDADE DE MEDICAO DE CORRENTE BLOQUEADO OPCAO CMPRELE001824
CMPRELE000028;UNIDUT 1.COM ROSCA BLOQUEADO OPCAO CMPRELE001248
CMPRELE004351;UNIDUT CONICO 1 1.2 C.BUCHA E ARRUELA GE BLOQUEADO
CMPRELE004352;UNIDUT CONICO 1 1.2 C.BUCHA E ARRUELA GF BLOQUEADO
CMPRELE002110;UNIDUT CONICO 1.1.2 BLOQUEADO OPCAO CCSMIND000287
CMPRSTM000012;UNIDUT CONICO 2. BLOQUEADO OPCAO CCSMIND003318
CMPRELE004354;UNIDUT CONICO 2. C.BUCHA E ARRUELA GE ELETROLITICO BLOQUEADO
CMPRELE004355;UNIDUT CONICO 2. C.BUCHA E ARRUELA GF BLOQUEADO OPCAO CMPRELE000971
CMPRELE001505;UNIDUT RETO 1. BLOQUEADO OPCAO CMPRSTM000011
CCSMIND001850;UNIDUT RETO 1.1.2 BLOQUEADO OPCAO CCSMIND000161
CMPRSTM000010;UNIDUT RETO 2. BLOQUEADO OPCAO CMPRELE001700
CMPRELE001197;UNIDUT RETO COMUM 1 CURTO LSP-201.20 BLOQUEADO OPCAO CMPRSTM000011
CMPRHVC000522;UPS 380V 400000VA APM 0400KTFS01 BLOQUEADO OPCAO CMPRELE000288
CEPIIND000007;UPS- BATERIA CHUMBO ACIDO VRLA CSB 162AH BLOQUEADO OPCAO CMPRELE003484
CMPRHVC000153;VALVULA CHECK 020-1054 7.8 BLOQUEADO
CMPRHVC000113;VALVULA DE EXPANSAO ELETRONICA CAREL 01.2 BLOQUEADO OPCAO CMPRHVC000539
CMPRHVC000855;VALVULA DE SERVICO 28.57 (1.1.8.) BLOQUEADO OPCAO CMPRHVC000868
CMPRHVC000073;VALVULA DE SERVICO 3.8 BLOQUEADO
CMPRHVC000150;VALVULA ESFERA 009L7955 7/8 BLOQUEADO OPCAO CMPRHVC000867
CMPRHVC000048;VALVULA ESFERICA -BLOQUEADO OPCAO CMPRHVC000265
CMPRHVC000186;VALVULA SELENOID 032F1204 BLOQUEADO OPCAO CMPRHVC000140
CMPRHVC000227;VALVULA TERMICA R404A.R507 BLOQUEADO
CMPRELE001323;VAULT CP32G - ACIONADOR DE EMERGENCIA BLOQUEADO OPCAO CMPRELE000358
CMPRELE003768;VERGALHAO ROSCADO 1.4 GE BLOQUEADO OPCAO CMPRELE003673
CMPREST000048;VIGAIW 150X3.00X1200 BLOQUEADO OPCAO CMPREST000310
CMPRELE001975;WEG-BARRAMENTO DE COBRE TERRA 300 BLOQUEADO OPCAO CMPRELE001569
CMPRELE006675;XT5 KIT 3-4P PLUG IN(400A)H=250 W=600MM REF PHCX5428 BLOQUEADO OPCAO CMPRELE006658
CMPRELE00121;TERMINAL COMPRESSAO 10MM 1F-1C M8 CB FLEX
CMPRELE00129;TERMINAL COMPRESSAO 70MM 1F-1C M08 CB FLEX
CMPRELE006904;SUPORTE BARRA PE REF 7GDS293262R0000
CMPRELE007098;BARRA CHATA DE COBRE ELETROLITICO 1X1/2 (25,40 X 12,70)MM- 3M
CMPRELE007106;BARRA QUADRADA ACO INOX AISI 304 - 5/16 POL - 1M
CMPRELE007110;BARRA REDONDA ACO A36 3/4 POL 6 M
CMPREST001065;PERFIL W 150 X 13,0 - ACO ASTM A572 G50 - 12M
