CÓDIGO;MATERIAL;DIM1;DIM2;PERIMETRO;MEDIDA
CMPRHVC000992;TUBO DE ESPUMA ELASTOMERICA 2.1.2'' FLEXIVEL COM ESPESSURA 25 MM, ARMAFLEX AF BR- 2 METROS;2000;1;1;UN
CMPRHVC001154;TUBO DE BORRACHA ELASTOMERICA DIA 38,10(1.1/2) ESP.13MM - 2 METROS;2000;1;1;UN
CMPRHVC000104; TUBO DE COBRE 1.3/4X 1/16 - 5 METROS ;5000;1;1;UN
CMPRHVC001051;TUBO DE ESPUMA ELASTOMERICA 3'' FLEXIVEL COM ESPESSURA 25 MM, ARMAFLEX AF BR 2 METROS;2000;1;1;UN
CMPREST001027;TUBO ACO QUADRADO 100 X 100 X 3.0MM - 6 METROS  NBR 8261 GRAU B;6000;1;594;UN
CMPREST001028;TUBO ACO QUADRADO 100 X 100 X 4.75MM - 6 METROS NBR 8261 GRAU B;6000;1;400;UN
CMPREST001029;TUBO ACO QUADRADO 100 X 100 X 6.35MM - 6 METROS -NBR 8261 GRAU B;6000;1;400;UN
CMPREST001030;TUBO ACO QUADRADO 30 X 30 X 1.5MM - 6 METROS - NBR 8261 GRAU B;6000;1;177;UN
CMPREST001031;TUBO ACO QUADRADO 40 X 40 X 1.5MM - 6 METROS - NBR 8261 GRAU B;6000;1;237;UN
CMPREST001032;TUBO ACO QUADRADO 50 X 50 X 1.5MM - 6 METROS - NBR 8261 GRAU B;6000;1;297;UN
CMPREST001033;TUBO ACO QUADRADO 50 X 50 X 3.0MM - 6 METROS - NBR 8261 GRAU B;6000;1;294;UN
CMPREST001034;TUBO ACO RETANGULAR 200X100X3.0MM - 6 METROS - NBR 8261 GRAU B;6000;1;600;UN
CMPREST001035;TUBO REDONDO ACO INOX - 152.4 X 2.0MM - 6 METROS - AISI 304.316;6000;1;478.8;UN
CMPRHVC001240;TUBO 2.1.2'' EM ACO CARBONO SEM COSTURA ASTM A-53  GR-B SCH 40 - 6 METROS;6000;1;200;UN
CMPRHVC001241;TUBO 3'' EM ACO CARBONO SEM COSTURA ASTM A-53  GR-B SCH.40 - 5 METROS;6000;1;240;UN
CMPRHVC001242;TUBO BORRACHA ELASTOMERICA DIA 15.88 (5/8) ESP. 13MM - 2 METROS;2000;1;49.9;UN
CMPRHVC001243;TUBO BORRACHA ELASTOMERICA DIA 22.23 (7.8) ESP. 13MM - 2 METROS;2000;1;69.8;UN
CMPRHVC001244;TUBO BORRACHA ELASTOMERICA DIA 25.4 (1) ESP. 13MM - 2 METROS;2000;1;70;UN
CMPRHVC001245;TUBO BORRACHA ELASTOMERICA DIA 28.58 (1.1/8) ESP. 13MM - 2 METROS;2000;1;89.8;UN
CMPRHVC001247;TUBO COBRE DIA 15.88 (5.8) ESP. 1.59 (1.16)- 5 METROS;5000;1;49.9;UN
CMPRHVC001248;TUBO COBRE DIA 19.05 (3.4) ESP. 0.79 (1/32) 5 METROS;5000;1;59.9;UN
CMPRHVC001249;TUBO COBRE DIA 19.05 (3.4) ESP. 1.59 (1.16) 5 METROS;5000;1;59.9;UN
CMPRHVC001250;TUBO COBRE DIA 22.23 (7.8) ESP. 1.59 (1.16) 5 METROS;5000;1;69.8;UN
CMPRHVC001251;TUBO COBRE DIA 25.40 (1) ESP. 1.59 (1.16) 5 METROS;5000;1;79.8;UN
CMPRHVC001252;TUBO DE COBRE DIA 28.58 (1.1.8) ESP. 1.59 (1.16) 5 METROS;5000;1;89.8;UN
CMPRHVC001253;TUBO DE COBRE DIA 32 (1.1.4) ESP. 0.79 (1/32) 5 METROS;5000;1;1;UN
CMPRHVC001254;TUBO DE COBRE DIA 6.35 (1.4) ESP. 0.79 (1.32) 5 METROS;5000;1;1;UN
CMPRHVC001255;TUBO DE COBRE 1/2 ESP. 1/16 - 5 METROS;5000;1;39.9;UN
CMPRHVC001256;TUBO DE ESPUMA ELASTOMERICA 2.1.2'' FLEXIVEL COM ESPESSURA 25 MM. ARMAFLEX AF BR- 2 METROS;2000;1;1;UN
CCSMIND004339;TUBO REDONDO ACO INOX - 101.6 X 2.0MM - 6 METROS- AISI 304.316;6000;1;319.2;UN
CCSMIND004340;TUBO ACO INOX REDONDO 50.8 X 2.0MM - 6 METROS- AISI 304.316;6000;1;159.6;UN
CMPRHVC001257;TUBO ACO RETANGULAR 60X40X3,0MM-6 METROS NBR 8261 GRAU B;6000;1;200;UN
CMPREST001037;CHAPA - INOX 304 - 1.5 X 1250 X 3000 MM;1250;3000;1;UN
CMPREST001038;CHAPA ACO - 1,25 X 1200 X 3000MM - NBR 7008 - Z100 - CRIST. MIN.;1200;3000;1;UN
CMPREST001040;CHAPA ACO - 1,55 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST001041;CHAPA ACO - 1,95 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST001042;CHAPA ACO - 1,95 X 1500 X 3000MM - ZAR250.ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1500;3000;1;UN
CMPREST001043;CHAPA ACO - 12,7 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST001044;CHAPA ACO - 2,65 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST001045;CHAPA ACO - 2,65 X 1500 X 3000MM - NORMA A36 . CFQ250;1500;3000;1;UN
CMPREST001046;CHAPA ACO - 3,00 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPREST001047;CHAPA ACO - 4,75 X 1200 X 3000MM - NORMA A36/CFQ250;1200;3000;1;UN
CMPREST001048;CHAPA ACO - 6,35 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST001049;CHAPA ACO - 8,00 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST001050;CHAPA ACO - 9,52 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST001051;CHAPA ACO CARBONO 25.4 X 1200X3000MM;1200;3000;1;UN
CMPREST001052;CHAPA ACO CARBONO 3.0 X 1200 X 3000;1200;3000;1;UN
CMPREST001053;CHAPA ACO CARBONO A36 1200X3000X16MM;1200;3000;1;UN
CMPREST001055;CHAPA ALUMINIO 5052 H34 - 3,0 X 1500 X 3000MM;1500;3000;1;UN
CMPREST001056;CHAPA EXPANDIDA STREEK METAL SMT-20-B ZINCADA 7.6 X 1200X3000;1200;3000;1;UN
CMPREST001057;CHAPA INOX 304 2 X 1200 X 3000 MM;1200;3000;1;UN
CMPREST001058;CHAPA XADREZ ALUMINIO 5052 H314 2,7 X 1250 X 3000MM;1250;3000;1;UN
CMPREST001059;CHAPA ACO CARBONO SAE 1020 19X1200X3000MM;1200;3000;1;UN
CMPREST000323;CHAPA POLICARBONATO 4 X 2050 X 6000 MM;2050;6000;1;UN
CMPRELE003126;BARRAMENTO FLEXIVEL MODELO BFN 250.2 REF 0039226 FABRICANTE HOLEC;3000;1;1;UN
CMPRELE006198;BARRA DE COBRE LISA 20X5MM L=3M;3000;1;1;UN
CMPREST001060;CHAPA ACO - 0,75 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;3000;1200;1;UN
CMPRELE007109;BARRA REDONDA ACO A36 1/2 POL 6 M;6000;1;1;UN
