CÓDIGO;MATERIAL;DIM1;DIM2;PERIMETRO;MEDIDA
CMPRELE000919;BARRA CHATA COBRE 1 X3/8 25,4 X 9,52MM;3000;1;70;UN
CCSMIND000357;TUBO ACO INOX REDONDO 50,8 X 2,0MM - 6 M - AISI 304.316;6000;1;159.6;UN
CCSMIND000356;TUBO REDONDO ACO INOX - 101,6 X 2,0MM - 6M - AISI 304.316;6000;1;319.2;UN
CMPREST000533;CHAPA ACO CARBONO 25.4 X 1200X3000MM;1200;3000;1;UN
CMPREST000237;CHAPA ACO CARBONO A36 1200X3000X16MM;1200;3000;1;UN
CMPREST000065;CHAPA ACO GALVANIZADO 1.9 X 1200 X 3000;1200;3000;1;UN
CMPREST000116;CHAPA ACO - 9,52 X 1200 X 3000MM - NORMA A36 . CFQ250;1200;3000;1;UN
CMPREST000169;CHAPA - INOX 304 - 1.5 X 1250 X 3000 MM;1200;3000;1;UN
CMPREST000466;PERFIL EXTRUDADO ALUMINIO BRANCO - ASA Y-166 - 6M;6000;1;1;UN
CMPREST000193;ISOAMORTECEDOR DE VIBRACAO TIPO D1BH-82 GERB;1;1;1;UN
CMPREST000353;PERFIL MACICO COM INSERTO METALICO - EPDM 40 SHA;3000;1;1;UN
CMPREST000656;TUBO DE ACO CARBONO SCH 40 C. COSTURA 1. X 6M;6000;1;79.8;UN
CMPREST000376;ARREMATE RUFO LATERAL SUPERIOR - 3M - ARCELOR RLS GALVALUME. BRANCO RAL 9003;3000;1;1;UN
CMPRHVC000108;TUBO DE COBRE 1/2 ESP. 1/16 - 5 METROS;5000;1;39.9;UN
CMPRHVC000103;TUBO DE COBRE DIA 28,58 (1.1.8) ESP. 1,59 (1.16) 5 METROS;5000;1;89.8;UN
CMPRHVC000105;TUBO COBRE DIA 19,05 (3.4) ESP. 0,79 (1/32) 5 METROS;5000;1;59.9;UN
CMPRHVC000376;TUBO DE COBRE PARA REFRIGERACAO 1.1.8 ESP.1.32;1000;1;89.8;M
CMPRHVC000286;TUBO COBRE DIA 19,05 (3.4) ESP. 1,59 (1.16) 5 METROS;5000;1;59.9;UN
CMPREST000557;MANGUEIRA DRENO AR CONDICIONADO CRISTAL 1 POL;10000;1;79.8;UN
CMPREST000176;PERFIL - P-264 - 6METROS - COR BRANCO 9003;6000;1;251.1;UN
CMPREST000177;PERFIL - P-165 - 6METROS - COR BRANCO 9003;6000;1;242.1;UN
CMPREST000178;PERFIL - U-482 - 6METROS - COR BRANCO 9003;6000;1;68.6;UN
CMPREST000582;ACM BRANCO BRILHO 3MM 1.50M X 3M;1500;3000;1;UN
CMPRHVC000861;TUBO ACO INOX 304 C.C 26,67 X 1,65 X 60000MM (3.4 SCH5);3000;1;59.9;UN
CMPREST000666;CHAPA GESSO DRYWALL (15X1800X1200) RESISTENTE FOGO;1800;1200;1;UN
CMPREST000171;CHAPA XADREZ ACO CARBONO SAE 1020 2.7X1200X3000 MM;1200;3000;1;UN
CMPRHVC000363;TUBO COBRE DIA 22,23 (7.8) ESP. 1,59 (1.16) 5 METROS;5000;1;69.8;UN
CMPRHVC000368;TUBO BORRACHA ELASTOMERICA DIA 22,23 (7.8) ESP. 13MM - 2 METROS;2000;1;69.8;UN
CMPRELE000227;BARRA ROSCADA 3.8. 3000MM GF GALVANIZADO A FOGO;3000;1;29.9;UN
CMPREST000134;CHAPA ACO CARBONO SAE 1020 19X1200X3000 MM;1200;3000;1;UN
CMPRHVC000051;TUBO DE BORRACHA ELASTOMERICA DIA 19,05 (3.4) ESP. 13MM - 2 METROS;2000;1;59.9;UN
CMPRHVC000248;MANTA ELASTOMERICA ALUMINIZADA13MMX1000MMX15000MM  BLOQUEADO OPCAO CMPRHVC001045;1000;14000;1;UN
CMPRHVC000385;TUBO BORRACHA ELASTOMERICA DIA 28,58 (1.1/8) ESP. 13MM - 2 METROS;2000;1;89.8;UN
CMPRHVC000283;TUBO COBRE DIA 15,88 (5.8) ESP. 1,59 (1.16)- 5 METROS;5000;1;49.9;UN
CMPRHVC000746;TUBO COBRE DIA 25,40 (1) ESP. 1,59 (1.16) 5 METROS;5000;1;79.8;UN
CMPRHVC000261;TUBO BORRACHA ELASTOMERICA DIA 15,88 (5/8) ESP. 13MM - 2 METROS;2000;1;49.9;UN
CMPREST000231;ARREMATE REQUADRO LAT. - 3M ARCELOR RQL A=100 B=50 GALVALUME. BRANCO RAL 9003;3000;1;1;UN
CMPREST000337;ARREMATE CANTO EXTERNO - 3M - ARCELOR CE GALVALUME. BRANCO RAL 9003;3000;1;1;UN
CMPRELE002416;PAINEL LDR-DENSIDADE 150 K.M3 -E100XL1138XC2650 MM LDR E 100MM DENSIDADE 150K;2650;1138;1;UN
CMPRELE002417;PAINEL LDR-DENSIDADE 150 K.MC³-E100XL1138XC1810 MM LDR E=100MM. DENSIDADE 150K;1810;1138;1;UN
CMPREST000689;PAINEL LDR-DENSIDADE 150 K.MC³-E100 X L1138XC1066MM;1066;1138;1;UN
CMPRHVC000013;TUBO DE COBRE 06.35 (1.4) ESP. 0.79 (1.32) BLOQUEADO OPCAO CMPRHVC000989;5000;1;1;UN
CMPRELE000228;BARRA ROSCADA 1.4 3000MM GF GALVANIZADO A FOGO;3000;1;19.9;UN
CMPREST000060;CHAPA ACO - 2,65 X 1200 X 3000MM - ZAR280.ZAR320 .ZAR345 - Z100.Z140.Z180.Z225.Z275 - CRIST. MIN.;1200;3000;1;UN
CMPRELE000918;BARRA CHATA COBRE 5.8X3.16 15.88X4.76MM;3000;1;49.9;UN
CMPREST00079;BARRA REDONDA ACO A36 3.4 POL 6 M;6000;1;59.9;UN
CMPREST000800;CANTONEIRA 31,8 X 31,8 X 6,3MM X 6000MM - A36.CA25;6000;1;126.2;UN
CMPREST000805;PERFIL CANTONEIRA FORRO 3 X 38 X 38;1000;1;152;M
CMPREST000806;PERFIL ESTRUTURAL EM ALUMINIO 40X40 BASICO T-SLOT - CANAL 8MM - PF40;1000;1;320;M
CMPREST000804;PERFIL METALICO T24 PARA FORRO 6,5 X 24 X 32MM;1000;1;118.5;M
CMPRELE004020;BARRAMENTO DE COBRE - DIMENSOES 120X10MM;3000;1;260;UN
CMPRELE004022;BARRAMENTO DE COBRE - DIMENSOES 80X10MM - 3M;3000;1;180;UN
CMPRELE004021;BARRAMENTO DE COBRE - DIMENSOES 100X10MM;3000;1;220;UN
CMPREST000791;PERFIL T 38,1X3,2MM - 6M - A36.CA25;6000;1;158.8;UN
CMPREST000816;CHAPA ALUMINIO 5052 H34 - 3,0 X 1500 X 3000MM;1500;3000;1;UN
CMPREST000838;TUBO ACO QUADRADO 100 X 100 X 4,75MM - 6 METROS NBR 8261 GRAU B;6000;1;400;UN
