PN;Roteiro;;Cod_Roteiro;Descricao_Roteiro;Procedencia;Destino;;OPER;Descricao_OPER;;ME1;ME2;ME3;ME4;ME5;ME6;ME7;ME8;ME9;ME10;PER1;PER2;PER3;PER4;PER5;MF1;MF2;MF3;MF4;MF5;MF6;MF7;MF8;MF9;MF10;MF11;MF12;MF13;MF14;MF15;MF16;MF17;MF18;MF19;MF20;MF21;MF22;MF23;FP1;FP2;FP3;FP4;FP5;FP6;FP7;FP8;FP9;FP10;FP11;FP12;FP13;FP14;FP15;FP16;FP17;FP18;SCJ1;SCJ2;SCJ3;FB1;EXP1;EXP2;PER6;MF24;MF25;MF26;MF27;ME11;ME12;CD1
TSTFOR-00019-403;ME1;;PER5;Teste equipamentos HVAC;Planta 4;Planta 4;;15;MONTAGEM MECÂNICA;;45:00:00.000;03:00:00.000;14:30:00.000;08:00:00.000;02:00:00.000;03:00:00.000;42:00:00.000;00:30:00.000;00:30:00.000;00:30:00.000;72:00:00.000;02:00:00.000;04:00:00.000;16:00:00.000;02:00:00.000;00:30:00.000;04:00:00.000;44:00:00.000;202:00:00.000;20:00:00.000;24:00:00.000;03:00:00.000;40:00:00.000;12:00:00.000;21:00:00.000;00:30:00.000;12:00:00.000;00:30:00.000;00:30:00.000;16:00:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:03:36.000;00:22:48.000;00:22:48.000;00:04:48.000;00:10:48.000;00:30:00.000;00:04:48.000;00:04:48.000;00:04:48.000;00:04:48.000;00:04:48.000;00:22:48.000;00:22:48.000;00:22:48.000;00:04:48.000;00:04:48.000;00:10:48.000;00:22:48.000;00:22:48.000;00:22:48.000;08:00:00.000;;;02:00:00.000;;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;
TSTFOR-00060-001;ME1;;MF1;SDACI - Combate - (Tubulação + Acessórios);Planta 4;Planta 4;;16;MONTAGEM ELÉTRICA;;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;;;;40:00:00.000;04:00:00.000;08:00:00.000;08:00:00.000;04:00:00.000;00:30:00.000;00:30:00.000;12:00:00.000;48:00:00.000;02:00:00.000;04:00:00.000;01:00:00.000;00:30:00.000;00:30:00.000;00:30:00.000;;00:30:00.000;;;00:30:00.000;;;;;;;;;;00:03:36.000;00:22:48.000;00:22:48.000;00:30:00.000;00:30:00.000;;00:30:00.000;00:22:48.000;00:22:48.000;00:04:48.000;00:10:48.000;00:22:48.000;00:22:48.000;00:22:48.000;00:30:00.000;00:22:48.000;00:30:00.000;00:30:00.000;00:04:48.000;00:10:48.000;;;;02:00:00.000;;;;00:30:00.000;;;
TST-01748-001;ME1;;MF2;SDACI - Vesda - (Tubulação + Acessórios);Planta 4;Planta 4;;17;MONTAGEM MECÂNICA DE PAINÉIS;;;;;;;;;;;;32:00:00.000;02:00:00.000;04:00:00.000;08:00:00.000;04:00:00.000;;;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;00:30:00.000;;;;;;;;;;;;;;;;;00:30:00.000;00:04:48.000;00:10:48.000;;;;;00:22:48.000;00:22:48.000;00:30:00.000;00:30:00.000;00:30:00.000;00:10:48.000;00:30:00.000;;00:22:48.000;;;00:30:00.000;00:30:00.000;;;;00:30:00.000;;;;;;;
TST-01611-001;ME1;;MF3;SDACI - Detecção  - (Infraestrutura + Cabeamento);Planta 4;Planta 4;;18;MONTAGEM ELÉTRICA DE PAINÉIS;;;;;;;;;;;;16:00:00.000;08:00:00.000;08:00:00.000;08:00:00.000;01:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;00:30:00.000;00:30:00.000;;;;;00:30:00.000;00:04:48.000;;;;00:30:00.000;;;00:30:00.000;;;;;;;;01:00:00.000;;;;;;;
TST-01026-001;ME1;;MF4;Alimentadores - (Infraestrutura + Cabeamento);Planta 4;Planta 4;;19;TESTE DE PAINÉIS ELÉTRICOS;;;;;;;;;;;;32:00:00.000;01:00:00.000;01:00:00.000;32:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00:30:00.000;;;;;;;;;;;;;;;00:30:00.000;;;;;;;
TST-01649-801;ME1;;MF5;Infraestrutura CFTV;Planta 4;Planta 4;;20;MONTAGEM REFRIGERAÇÃO;;;;;;;;;;;;16:00:00.000;01:00:00.000;01:00:00.000;16:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSTFOR-00018-401;ME1;;MF6;Infraestrutura BMS e Demais Dispositivos + Rede Team Work;Planta 4;Planta 4;;21;TESTE MONTAGEM FINAL;;;;;;;;;;;;16:00:00.000;01:00:00.000;;16:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSTFOR-00058-001;ME1;;MF7;Infraestrutura Acess Point e Telefone;Planta 4;Planta 4;;22;INSPEÇÃO DA QUALIDADE MTG FINAL;;;;;;;;;;;;08:00:00.000;;;32:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSTFOR-00059-001;ME1;;MF8;Infraestrutura Controle de Acesso;Planta 4;Planta 4;;23;MONTAGEM INFRAESTRUTURA;;;;;;;;;;;;08:00:00.000;;;16:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSTFOR-00061-001;ME1;;MF9;Infraestrutura Sensor de Temperatura de Umidade;Planta 4;Planta 4;;24;FABRICAÇÃO DE IDENTIFICAÇÕES;;;;;;;;;;;;;;;04:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
